timestamp,provided_gate_voltage,provided_channel_voltage,drain_voltage,drain_current,measured_gate_voltage,measured_gate_current,rms_gate_voltage
1770932755.1440935,0.9100000000000014,0.05,0.0500055,3.22458e-06,0.909987,2.53439e-11,0.9341915257556486
1770933353.2802413,0.9000000000000014,0.05,0.0500046,3.2601e-06,0.899996,2.23935e-10,0.9100279446745944
1770933960.4471507,0.9200000000000014,0.05,0.0500019,3.2901e-06,0.919991,3.06034e-10,0.9133726220847657
1770934561.0267584,0.9200000000000014,0.05,0.050002,3.29385e-06,0.919985,2.89822e-10,0.9166657952476465
1770935158.8086379,0.9100000000000014,0.05,0.0500042,3.30637e-06,0.909985,2.82633e-10,0.9302348342889911
1770935775.3878467,0.9600000000000014,0.05,0.0500029,3.34267e-06,0.959982,3.39365e-10,0.9236948162226887
1770936358.1428564,0.9000000000000014,0.05,0.0499989,3.34521e-06,0.899999,1.85835e-10,0.9269944768517592
1770936965.3693733,0.9200000000000014,0.05,0.0500012,3.33396e-06,0.919996,-6.42538e-12,0.9067130086243754
1770937560.364563,0.9000000000000014,0.05,0.0500026,3.33003e-06,0.899997,2.36118e-10,0.9100296259318521
1770938164.2426434,0.9100000000000014,0.05,0.0500012,3.32442e-06,0.909986,3.22068e-10,0.9066682267933881
1770938765.36649,0.9100000000000014,0.05,0.0500026,3.34259e-06,0.909985,2.98822e-10,0.9200960639161544
1770939375.4974964,0.9400000000000014,0.05,0.0500037,3.35216e-06,0.939991,2.93803e-10,0.9300958911902579
1770939976.1037672,0.9400000000000014,0.05,0.0500001,3.33388e-06,0.939989,2.80559e-10,0.9333719373417009
1770940571.4596457,0.9200000000000014,0.05,0.0500009,3.26301e-06,0.919993,9.14097e-11,0.9201381853058811
1770941166.358611,0.9000000000000014,0.05,0.0500002,3.25333e-06,0.899998,1.96457e-10,0.9235582854837407
1770941782.4796612,0.9500000000000014,0.05,0.0500046,3.19866e-06,0.949998,1.76907e-10,0.9370282315569082
1770942386.384113,0.9600000000000014,0.05,0.0500033,3.12349e-06,0.959986,-3.83496e-11,0.9370279113966313
1770942969.5127816,0.9000000000000014,0.05,0.0500026,3.15928e-06,0.899997,-2.56658e-11,0.9370272355026116
1770943585.3010173,0.9500000000000014,0.05,0.0500006,3.05589e-06,0.949996,2.03598e-10,0.9302468489689534
1770944183.5578408,0.9400000000000014,0.05,0.0500026,2.98365e-06,0.939995,1.89781e-11,0.960234231898655
1770944799.6187038,0.9900000000000014,0.05,0.0500003,4.37447e-06,0.989983,2.73752e-10,0.9702263895115751
1770945397.3786676,0.9800000000000014,0.05,0.0500013,3.11444e-06,0.97998,2.2589e-10,0.9161574138223555
1770945932.4499223,0.7600000000000012,0.05,0.0500017,3.19077e-06,0.760004,1.55973e-10,0.91615777401639
1770946602.2428055,0.9900000000000014,0.05,0.0500051,3.10086e-06,0.989984,2.67947e-10,0.9197370385860297
1770947203.7056737,0.9900000000000014,0.05,0.0500018,3.25748e-06,0.989987,-4.14133e-11,0.9899870000030303
1770947804.4050667,0.9900000000000014,0.05,0.0500044,3.18834e-06,0.98999,5.45859e-11,0.9899866666708194
1770948405.4323864,0.9900000000000014,0.05,0.0500028,3.17844e-06,0.989983,1.82796e-10,0.9899856666714928
1770949006.572481,0.9900000000000014,0.05,0.0500042,3.18968e-06,0.989984,-5.9247e-12,0.9899833333334455
1770949607.2138295,0.9900000000000014,0.05,0.0500035,4.80033e-06,0.989983,-6.70433e-11,0.9866602692830327
1770950205.7615688,0.9800000000000014,0.05,0.0500019,3.41131e-06,0.97998,-4.82559e-11,0.9734682738706314
1770950797.8675911,0.9500000000000014,0.05,0.050004,3.33963e-06,0.949997,1.9213e-10,0.9700893121654658
1770951407.434511,0.9800000000000014,0.05,0.0500016,3.26305e-06,0.979982,2.00868e-11,0.9734703009511898
1770952011.3264632,0.9900000000000014,0.05,0.050005,3.14016e-06,0.989987,4.4477e-11,0.9866629381724035
1770952612.8438776,0.9900000000000014,0.05,0.0500012,2.97471e-06,0.989986,1.10364e-10,0.9899853333347923
1770953213.4554884,0.9900000000000014,0.05,0.0500014,2.82025e-06,0.989983,2.01046e-10,0.9899850000010101
1770953814.5327044,0.9900000000000014,0.05,0.0499998,2.7545e-06,0.989986,-2.73943e-11,0.9899846666674523
1770954415.6537287,0.9900000000000014,0.05,0.0499998,4.25678e-06,0.989985,1.04451e-10,0.9899850000003367
1770955016.2806735,0.9900000000000014,0.05,0.0500007,5.11845e-06,0.989984,2.0057e-10,0.989984666666779
1770955617.7827685,0.9900000000000014,0.05,0.0500005,5.50723e-06,0.989985,1.75297e-10,0.9833648391417772
1770956212.7638996,0.9700000000000014,0.05,0.0500046,2.57003e-06,0.96999,-7.9751e-12,0.9734002295255191
1770956810.5760078,0.9600000000000014,0.05,0.0499991,2.54568e-06,0.959986,2.75612e-11,0.9666668368498701
1770957414.8817463,0.9700000000000014,0.05,0.0500029,2.54137e-06,0.96999,1.92714e-10,0.9733998905129725
1770958022.0874183,0.9900000000000014,0.05,0.0499995,2.88444e-06,0.989984,-7.90358e-12,0.9833648391417772
1770958622.7594676,0.9900000000000014,0.05,0.050002,5.77672e-06,0.989985,1.49679e-10,0.9800867003665202
1770959214.8573408,0.9600000000000014,0.05,0.0500017,2.72546e-06,0.959985,2.93016e-11,0.9767299628199871
1770959822.0245433,0.9800000000000014,0.05,0.0499989,2.77424e-06,0.979981,2.38061e-11,0.9666966226591809
1770960416.939007,0.9600000000000014,0.05,0.0499985,2.85536e-06,0.959986,1.58322e-10,0.9767302904388021
1770961026.9666793,0.9900000000000014,0.05,0.0499993,2.94345e-06,0.989985,6.814e-11,0.9800873635627252
1770961627.574736,0.9900000000000014,0.05,0.0500003,3.03441e-06,0.989985,-1.95384e-11,0.9866612726513593
1770962225.751278,0.9800000000000014,0.05,0.0500029,3.039e-06,0.97998,1.5533e-10,0.9866619415642489
1770962829.735119,0.9900000000000014,0.05,0.0500023,3.04711e-06,0.989987,1.25742e-10,0.9866622760203547
1770963431.2444222,0.9900000000000014,0.05,0.0500027,4.63695e-06,0.989986,1.5409e-10,0.9899860000003367
1770964031.9171238,0.9900000000000014,0.05,0.0500021,3.35137e-06,0.989985,-3.36289e-11,0.9899863333341189
1770964632.9799266,0.9900000000000014,0.05,0.0500021,3.24198e-06,0.989988,7.47681e-11,0.9899856666681257
1770965234.0537415,0.9900000000000014,0.05,0.0500004,3.30845e-06,0.989984,3.06964e-11,0.989984333337486
1770965834.7238176,0.9900000000000014,0.05,0.0500022,3.38847e-06,0.989981,1.04809e-10,0.9899836666687991
1770966436.194443,0.9900000000000014,0.05,0.050004,3.39438e-06,0.989986,4.98891e-11,0.9899843333361392
1770967036.7946336,0.9900000000000014,0.05,0.0499976,3.40848e-06,0.989986,1.66368e-10,0.9899850000010101
1770967638.3013535,0.9900000000000014,0.05,0.0499984,3.40649e-06,0.989983,1.20831e-10,0.9899850000010101
1770968239.010894,0.9900000000000014,0.05,0.0500008,5.31919e-06,0.989986,1.77741e-11,0.9899850000010101
1770968840.486817,0.9900000000000014,0.05,0.0500025,3.60113e-06,0.989986,1.84464e-10,0.9800877104655821
1770969432.1353462,0.9600000000000014,0.05,0.05,3.52661e-06,0.959985,2.06351e-11,0.9767303006770429
1770970038.8947985,0.9800000000000014,0.05,0.0500016,3.51595e-06,0.979981,2.13814e-10,0.9733606390622475
1770970640.3570628,0.9800000000000014,0.05,0.0500037,3.50726e-06,0.979979,1.68586e-10,0.9733612965682373
1770971235.2186391,0.9600000000000014,0.05,0.0500033,3.51379e-06,0.959987,1.18291e-10,0.9733616321686406
1770971842.4419913,0.9800000000000014,0.05,0.0500015,3.50992e-06,0.979982,3.65734e-11,0.9767306146440788
1770972445.8807936,0.9900000000000014,0.05,0.0500027,3.4067e-06,0.989984,9.82523e-11,0.9833256430957481
1770973044.126356,0.9800000000000014,0.05,0.0500017,3.71843e-06,0.979977,5.40376e-11,0.9866616172536898
1770973648.0845954,0.9900000000000014,0.05,0.0500028,3.44818e-06,0.98999,3.53694e-11,0.9866616172536898
1770974249.5550368,0.9900000000000014,0.05,0.0500027,3.44852e-06,0.989984,7.61509e-11,0.9899856666714928
1770974850.303029,0.9900000000000014,0.05,0.0500025,3.47181e-06,0.989983,1.34313e-10,0.9899846666681257
1770975451.3273923,0.9900000000000014,0.05,0.049999,3.49367e-06,0.989987,-1.83225e-11,0.9899860000023569
1770976052.420823,0.9900000000000014,0.05,0.0499993,3.50756e-06,0.989988,1.79386e-10,0.986662282782547
1770976650.227191,0.9800000000000014,0.05,0.0500028,3.50837e-06,0.979978,1.79613e-10,0.9866612794138963
1770977254.5077028,0.9900000000000014,0.05,0.0500026,3.36685e-06,0.989984,2.34008e-11,0.9866596071305443
1770977855.103619,0.9900000000000014,0.05,0.0500021,3.40976e-06,0.989983,4.01378e-11,0.9899833333334455
1770978456.6154253,0.9900000000000014,0.05,0.0500025,3.4174e-06,0.989983,6.86407e-11,0.9899853333388329
1770979057.264894,0.9900000000000014,0.05,0.0500006,5.77717e-06,0.98999,7.82728e-11,0.989986333337486
1770979658.723567,0.9900000000000014,0.05,0.0500022,3.68874e-06,0.989986,2.19405e-10,0.9833681745824738
1770980253.7180731,0.9700000000000014,0.05,0.0500017,3.5915e-06,0.969993,-1.21713e-11,0.9701296992754801
1770980848.6282125,0.9500000000000014,0.05,0.0500049,3.57907e-06,0.949998,6.65426e-11,0.9667366929584981
1770981458.6851695,0.9800000000000014,0.05,0.0500032,3.5738e-06,0.979978,1.1003e-10,0.9734686060188759
1770982062.1882498,0.9900000000000014,0.05,0.0500023,4.14458e-06,0.989985,1.69945e-10,0.9866612794128827
1770982663.6987371,0.9900000000000014,0.05,0.0500041,3.44397e-06,0.989987,-1.48416e-11,0.989984333336476
1770983264.3491304,0.9900000000000014,0.05,0.0500023,3.45157e-06,0.989981,6.39439e-11,0.989984333336476
1770983865.816729,0.9900000000000014,0.05,0.0500042,3.50326e-06,0.989985,1.77979e-11,0.989984333336476
1770984466.459037,0.9900000000000014,0.05,0.0500047,3.53139e-06,0.989987,1.74582e-10,0.9899850000013468
1770985067.9365778,0.9900000000000014,0.05,0.0500073,3.48552e-06,0.989983,7.67469e-11,0.9899863333364758
1770985668.6339428,0.9900000000000014,0.05,0.0500016,3.47074e-06,0.989989,9.04679e-11,0.9899856666698092
1770986269.6630843,0.9900000000000014,0.05,0.0499983,3.49117e-06,0.989985,2.074e-10,0.989988000002357
1770986870.7573009,0.9900000000000014,0.05,0.0500029,3.52341e-06,0.98999,-6.26922e-11,0.9899866666694725
1770987471.3801103,0.9900000000000014,0.05,0.0499987,3.54426e-06,0.989985,1.56176e-10,0.989987000002357
1770988072.8715823,0.9900000000000014,0.05,0.0500011,3.58528e-06,0.989986,2.0386e-10,0.9899846666674523
1770988673.5078118,0.9900000000000014,0.05,0.0500031,3.5937e-06,0.989983,1.76835e-10,0.9899846666674523
1770989275.02863,0.9900000000000014,0.05,0.0500012,3.5845e-06,0.989985,1.35744e-10,0.9899846666674523
1770989875.7568555,0.9900000000000014,0.05,0.0500038,3.59528e-06,0.989986,9.08136e-11,0.9899846666674523
1770990477.2216525,0.9900000000000014,0.05,0.0500033,3.58947e-06,0.989983,1.9536e-10,0.9899850000010101
1770991077.906862,0.9900000000000014,0.05,0.0500003,4.70857e-06,0.989986,2.05517e-11,0.9899853333347923
1770991678.9938307,0.9900000000000014,0.05,0.0500018,3.58992e-06,0.989987,2.13397e-10,0.9899850000023569
1770992280.021297,0.9900000000000014,0.05,0.0500029,3.60889e-06,0.989982,2.05576e-10,0.9899860000043772
1770992880.656008,0.9900000000000014,0.05,0.0500015,3.621e-06,0.989989,4.63724e-12,0.9899863333381594
1770993482.1664941,0.9900000000000014,0.05,0.0500044,3.63062e-06,0.989988,1.38891e-10,0.9899883333334456
1770994082.8280506,0.9900000000000014,0.05,0.0500055,3.64955e-06,0.989988,9.95398e-11,0.9899876666667788
1770994684.2834082,0.9900000000000014,0.05,0.0499993,3.6867e-06,0.989987,1.17433e-10,0.989985666670146
1770995284.9495332,0.9900000000000014,0.05,0.0500013,3.63057e-06,0.989982,2.074e-10,0.9899843333354658
1770995886.3204083,0.9900000000000014,0.05,0.0500011,3.49711e-06,0.989984,6.74725e-12,0.9899843333354658
1770996486.9886625,0.9900000000000014,0.05,0.0500056,3.50635e-06,0.989987,5.67436e-11,0.9899850000010101
1770997088.1057246,0.9900000000000014,0.05,0.0500039,3.52501e-06,0.989984,-1.598e-10,0.98998600000101
1770997689.1246378,0.9900000000000014,0.05,0.0500038,5.31935e-06,0.989987,-6.45161e-11,0.98998600000101
1770998289.8426297,0.9900000000000014,0.05,0.0500053,3.9785e-06,0.989987,3.83496e-11,0.9899863333337822
1770998891.327561,0.9900000000000014,0.05,0.050003,3.82238e-06,0.989985,1.65498e-10,0.9899866666674523
1770999491.9912121,0.9900000000000014,0.05,0.0500041,3.90337e-06,0.989988,2.04813e-10,0.9899863333341189
1771000093.5600207,0.9900000000000014,0.05,0.0500002,3.81912e-06,0.989986,1.97077e-10,0.9899870000003367
1771000694.2061174,0.9900000000000014,0.05,0.0500038,3.76384e-06,0.989987,-7.24912e-11,0.9899866666667789
1771001295.733529,0.9900000000000014,0.05,0.0500046,3.72694e-06,0.989987,1.00088e-10,0.9899856666684623
1771001896.4356623,0.9900000000000014,0.05,0.0500029,3.73087e-06,0.989983,-4.7648e-11,0.989984333335129
1771002497.52709,0.9900000000000014,0.05,0.0500042,3.70301e-06,0.989983,-5.80549e-11,0.9899836666671156
1771003098.644352,0.9900000000000014,0.05,0.0500043,3.6974e-06,0.989985,-6.71864e-11,0.9899843333337822
1771003699.4505773,0.9900000000000014,0.05,0.0500046,3.71889e-06,0.989985,-6.90103e-11,0.9899860000010101
1771004300.9065282,0.9900000000000014,0.05,0.0500018,3.68567e-06,0.989988,1.65331e-10,0.9899850000030304
1771004901.6149213,0.9900000000000014,0.05,0.0500072,4.8703e-06,0.989982,2.46584e-10,0.989985666670146
1771005503.0576339,0.9900000000000014,0.05,0.0500017,6.26487e-06,0.989987,-5.7137e-11,0.9899870000084176
1771006103.6305442,0.9900000000000014,0.05,0.0499907,3.89012e-06,0.989992,2.49743e-10,0.9866616341679654
1771006701.5235775,0.9800000000000014,0.05,0.0499918,3.63069e-06,0.979972,-2.16103e-10,0.9866579551570375
1771007305.8377714,0.9900000000000014,0.05,0.0499933,3.70842e-06,0.989976,1.45185e-10,0.9866532727430982
1771007906.915721,0.9900000000000014,0.05,0.0499924,3.73126e-06,0.989978,9.45437e-10,0.9899776666674523
1771008508.0209043,0.9900000000000014,0.05,0.049991,3.63878e-06,0.989979,-5.75542e-11,0.9899783333334456
1771009108.6714098,0.9900000000000014,0.05,0.0499908,3.73983e-06,0.989978,2.2378e-10,0.9899773333347924
1771009710.144446,0.9900000000000014,0.05,0.0499949,3.75298e-06,0.989975,3.05772e-11,0.9899766666674523
1771010310.8314915,0.9900000000000014,0.05,0.0499946,3.76852e-06,0.989977,-7.447e-11,0.9899766666674523
